base,params,exp,teacher,n_examples,repeat,max_tokens,step,benchmark,mean,std,n_seeds,wandb_run,created,state
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1954,MATH500,0.8667,0.0064,3,n6v0prsx,2026-05-08,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,1,32768,394,AIME24,0.15,0.0423,10,j29q7hat,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,1,32768,394,AIME25,0.1167,0.0236,10,lezcgfq5,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,1,32768,394,AMC23,0.4775,0.0463,10,f8grawvd,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,1,32768,394,HMMT,0.0633,0.0189,10,qjaocm8p,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,1,32768,394,MATH500,0.664,0.0174,3,oi90xu6v,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,2,32768,394,AIME24,0.21,0.0649,10,wq5j97w4,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,2,32768,394,AIME25,0.1633,0.0429,10,a6rly97l,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,2,32768,394,AMC23,0.5575,0.0457,10,7n7kuvf4,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,2,32768,394,HMMT,0.1033,0.0292,10,rvpccje7,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,2,32768,394,MATH500,0.7493,0.007,3,79zv6gdk,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,3,32768,394,AIME24,0.1933,0.0466,10,evdimxay,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,3,32768,394,AIME25,0.16,0.041,10,5j8ieg5s,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,3,32768,394,AMC23,0.54,0.0592,10,h2uv4hfx,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,3,32768,394,HMMT,0.1067,0.0378,10,6lf2kky0,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,10000,3,32768,394,MATH500,0.7393,0.014,3,tm6oc7en,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,391,AIME24,0.1167,0.0423,10,l35kbkv9,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,391,AIME25,0.0767,0.0387,10,0cz4k019,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,391,AMC23,0.3575,0.0501,10,vnxxqqpp,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,391,HMMT,0.04,0.0306,10,83h8ss0j,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,391,MATH500,0.552,0.002,3,vqh4w74z,2026-05-08,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,782,AIME24,0.1733,0.0813,10,q4txybz2,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,782,AIME25,0.19,0.0568,10,uqiem8i9,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,782,AMC23,0.4925,0.0528,10,w8xswmkf,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,782,HMMT,0.0933,0.0263,10,51i23ky0,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,782,MATH500,0.7033,0.0103,3,1yp48sw1,2026-05-08,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,1173,AIME24,0.2733,0.0492,10,27weortl,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,1173,AIME25,0.23,0.0508,10,02bc1l0e,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,1173,AMC23,0.64,0.0626,10,b969kv4u,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,1173,HMMT,0.1367,0.0457,10,zk5nztg1,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-32b,50000,1,32768,1173,MATH500,0.7653,0.0101,3,snr8u2sa,2026-05-08,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,1,32768,394,AIME24,0.06,0.0306,10,zvm80dqs,2026-04-30,finished
