_step,train/loss,eval/paloma/c4_en-llama3/loss,eval_dropless/paloma/c4_en-llama3/loss,eval/macro_loss,eval_dropless/macro_loss,_segment
12347,1.3374531269073486,,,,,hero-12d8b6f0-dee637
12367,1.3322466611862183,,,,,hero-12d8b6f0-dee637
12392,1.3362653255462646,,,,,hero-12d8b6f0-dee637
12457,1.3257259130477905,,,,,hero-12d8b6f0-dee637
12477,1.3567957878112793,,,,,hero-12d8b6f0-dee637
12540,1.3421272039413452,,,,,hero-12d8b6f0-dee637
12658,1.3354003429412842,,,,,hero-12d8b6f0-dee637
12660,1.32318115234375,,,,,hero-12d8b6f0-dee637
12683,1.3291921615600586,,,,,hero-12d8b6f0-dee637
12792,1.3272806406021118,,,,,hero-12d8b6f0-dee637
12805,1.3283257484436035,,,,,hero-12d8b6f0-dee637
12827,1.337846279144287,,,,,hero-12d8b6f0-dee637
12836,1.3314638137817383,,,,,hero-12d8b6f0-dee637
12873,1.3430345058441162,,,,,hero-12d8b6f0-dee637
12876,1.3253597021102905,,,,,hero-12d8b6f0-dee637
12893,1.321171760559082,,,,,hero-12d8b6f0-dee637
12894,1.3420580625534058,,,,,hero-12d8b6f0-dee637
12922,1.318974494934082,,,,,hero-12d8b6f0-dee637
12963,1.3218492269515991,,,,,hero-12d8b6f0-dee637
12984,1.3268910646438599,,,,,hero-12d8b6f0-dee637
12990,1.3227297067642212,,,,,hero-12d8b6f0-dee637
12999,1.315459966659546,,,,,hero-12d8b6f0-dee637
13020,1.321161150932312,,,,,hero-12d8b6f0-dee637
13021,1.329954743385315,,,,,hero-12d8b6f0-dee637
13024,1.3248121738433838,,,,,hero-12d8b6f0-dee637
13041,1.3304016590118408,,,,,hero-12d8b6f0-dee637
13099,1.335008144378662,,,,,hero-12d8b6f0-dee637
13231,1.3241004943847656,,,,,hero-12d8b6f0-dee637
13241,1.3380393981933594,,,,,hero-12d8b6f0-dee637
13243,1.323178768157959,,,,,hero-12d8b6f0-dee637
13247,1.3121243715286255,,,,,hero-12d8b6f0-dee637
13353,1.3261638879776,,,,,hero-12d8b6f0-dee637
13358,1.3208554983139038,,,,,hero-12d8b6f0-dee637
13466,1.3265777826309204,,,,,hero-12d8b6f0-dee637
13595,1.3241994380950928,,,,,hero-12d8b6f0-dee637
13620,1.3206928968429565,,,,,hero-12d8b6f0-dee637
13635,1.3233914375305176,,,,,hero-12d8b6f0-dee637
13697,1.3230618238449097,,,,,hero-12d8b6f0-dee637
13706,1.3180961608886719,,,,,hero-12d8b6f0-dee637
13790,1.3107094764709473,,,,,hero-12d8b6f0-dee637
13840,1.3258415460586548,,,,,hero-12d8b6f0-dee637
13884,1.3274177312850952,,,,,hero-12d8b6f0-dee637
13957,1.3257442712783813,,,,,hero-12d8b6f0-dee637
13994,1.3011335134506226,,,,,hero-12d8b6f0-dee637
14007,1.3215258121490479,,,,,hero-12d8b6f0-dee637
14013,1.3224583864212036,,,,,hero-12d8b6f0-dee637
14043,1.3291103839874268,,,,,hero-12d8b6f0-dee637
14047,1.3154306411743164,,,,,hero-12d8b6f0-dee637
14068,1.3100321292877197,,,,,hero-12d8b6f0-dee637
14088,1.3331444263458252,,,,,hero-12d8b6f0-dee637
14091,1.31819486618042,,,,,hero-12d8b6f0-dee637
14104,1.3088477849960327,,,,,hero-12d8b6f0-dee637
14130,1.3202815055847168,,,,,hero-12d8b6f0-dee637
14154,1.3243464231491089,,,,,hero-12d8b6f0-dee637
14155,1.308236002922058,,,,,hero-12d8b6f0-dee637
14179,1.3148244619369507,,,,,hero-12d8b6f0-dee637
14196,1.3171240091323853,,,,,hero-12d8b6f0-dee637
14250,1.3029136657714844,,,,,hero-12d8b6f0-dee637
14259,1.3203492164611816,,,,,hero-12d8b6f0-dee637
14267,1.3158986568450928,,,,,hero-12d8b6f0-dee637
14408,1.3192381858825684,,,,,hero-12d8b6f0-dee637
14416,1.3276790380477905,,,,,hero-12d8b6f0-dee637
14430,1.3336223363876343,,,,,hero-12d8b6f0-dee637
14495,1.3344870805740356,,,,,hero-12d8b6f0-dee637
14505,1.3200218677520752,,,,,hero-12d8b6f0-dee637
14516,1.336167573928833,,,,,hero-12d8b6f0-dee637
14519,1.3153860569000244,,,,,hero-12d8b6f0-dee637
