_step,train/CE loss,_segment
69,1.4176006317138672,j9nypgrc
70,1.3773629665374756,j9nypgrc
71,1.3888566493988037,j9nypgrc
72,1.4314299821853638,j9nypgrc
73,1.4028911590576172,j9nypgrc
74,1.424637794494629,j9nypgrc
75,1.4519596099853516,j9nypgrc
76,1.5016582012176514,j9nypgrc
77,1.4193729162216187,j9nypgrc
78,1.305192232131958,j9nypgrc
79,1.393019676208496,j9nypgrc
80,1.3559777736663818,j9nypgrc
81,1.3487210273742676,j9nypgrc
82,1.3918237686157227,j9nypgrc
83,1.4837912321090698,j9nypgrc
84,1.4396480321884155,j9nypgrc
85,1.3473848104476929,j9nypgrc
86,1.394494891166687,j9nypgrc
87,1.3910528421401978,j9nypgrc
88,1.7744330167770386,j9nypgrc
89,1.5831226110458374,j9nypgrc
90,1.4847283363342285,j9nypgrc
91,1.4342402219772339,j9nypgrc
92,1.4748506546020508,j9nypgrc
93,1.4758697748184204,j9nypgrc
94,1.3796350955963135,j9nypgrc
95,1.4317761659622192,j9nypgrc
96,1.4153324365615845,j9nypgrc
97,1.4357142448425293,j9nypgrc
98,1.3955087661743164,j9nypgrc
99,1.5038996934890747,j9nypgrc
100,1.4574822187423706,j9nypgrc
101,1.4138832092285156,j9nypgrc
102,1.4268858432769775,j9nypgrc
103,1.422210931777954,j9nypgrc
104,1.4062532186508179,j9nypgrc
105,1.3806889057159424,j9nypgrc
106,1.554452896118164,j9nypgrc
107,1.4087061882019043,j9nypgrc
108,1.50825834274292,j9nypgrc
109,1.3971973657608032,j9nypgrc
110,1.4304587841033936,j9nypgrc
111,1.4936283826828003,j9nypgrc
112,1.3776769638061523,j9nypgrc
113,1.371306300163269,j9nypgrc
114,1.3905521631240845,j9nypgrc
115,1.372701644897461,j9nypgrc
116,1.398319959640503,j9nypgrc
117,1.5311836004257202,j9nypgrc
118,1.3363900184631348,j9nypgrc
119,1.4349926710128784,j9nypgrc
120,1.4029232263565063,j9nypgrc
121,1.4178717136383057,j9nypgrc
122,1.3494268655776978,j9nypgrc
123,1.4362435340881348,j9nypgrc
124,1.4586255550384521,j9nypgrc
125,1.4488438367843628,j9nypgrc
126,1.444740891456604,j9nypgrc
127,1.3625565767288208,j9nypgrc
128,1.4019185304641724,j9nypgrc
129,1.4399595260620117,j9nypgrc
130,1.3477991819381714,j9nypgrc
131,1.3959168195724487,j9nypgrc
132,1.4404113292694092,j9nypgrc
133,1.4093658924102783,j9nypgrc
134,1.4269030094146729,j9nypgrc
135,1.4470810890197754,j9nypgrc
136,1.4924744367599487,j9nypgrc
137,1.4680044651031494,j9nypgrc
138,1.4074782133102417,j9nypgrc
139,1.5033258199691772,j9nypgrc
140,1.427679419517517,j9nypgrc
141,1.4390345811843872,j9nypgrc
142,1.4465746879577637,j9nypgrc
143,1.3970060348510742,j9nypgrc
144,1.4089570045471191,j9nypgrc
145,1.3484375476837158,j9nypgrc
146,1.4040851593017578,j9nypgrc
147,1.466947078704834,j9nypgrc
148,1.4110043048858643,j9nypgrc
149,1.4495980739593506,j9nypgrc
150,1.4567056894302368,j9nypgrc
151,1.4485260248184204,j9nypgrc
152,1.4476604461669922,j9nypgrc
153,1.420015811920166,j9nypgrc
154,1.3882195949554443,j9nypgrc
155,1.3705836534500122,j9nypgrc
156,1.348759651184082,j9nypgrc
157,1.4511139392852783,j9nypgrc
158,1.442122459411621,j9nypgrc
159,1.3630096912384033,j9nypgrc
160,1.4597647190093994,j9nypgrc
161,1.5277918577194214,j9nypgrc
162,1.3983858823776245,j9nypgrc
163,1.368775486946106,j9nypgrc
164,1.4276294708251953,j9nypgrc
165,1.4528005123138428,j9nypgrc
166,1.4863325357437134,j9nypgrc
167,1.405673861503601,j9nypgrc
168,1.4282631874084473,j9nypgrc
169,1.4266111850738525,j9nypgrc
